Match,Winning Team,Player,Runs,Balls,M,4s,6s,SR,Match ID
England vs Sri Lanka,Sri Lanka,Adil Rashid ,2,7,7,0,0,28.57,ODI # 4682
England vs Sri Lanka,Sri Lanka,Mark Wood ,5,6,6,1,0,83.33,ODI # 4682
England vs Sri Lanka,Sri Lanka,Pathum Nissanka ,77,83,110,7,2,92.77,ODI # 4682
England vs Sri Lanka,Sri Lanka,Kusal Perera ,4,5,8,1,0,80.00,ODI # 4682
England vs Sri Lanka,Sri Lanka,Kusal Mendis ,11,12,15,2,0,91.66,ODI # 4682
England vs Sri Lanka,Sri Lanka,Sadeera Samarawickrama ,65,54,84,7,1,120.37,ODI # 4682
Australia vs Netherlands,Australia,Mitchell Marsh ,9,15,15,2,0,60.00,ODI # 4681
Australia vs Netherlands,Australia,David Warner ,104,93,182,11,3,111.82,ODI # 4681
Australia vs Netherlands,Australia,Steven Smith ,71,68,88,9,1,104.41,ODI # 4681
Australia vs Netherlands,Australia,Marnus Labuschagne ,62,47,60,7,2,131.91,ODI # 4681
Australia vs Netherlands,Australia,Josh Inglis ,14,12,12,1,1,116.66,ODI # 4681
Australia vs Netherlands,Australia,Glenn Maxwell ,106,44,53,9,8,240.90,ODI # 4681
Australia vs Netherlands,Australia,Cameron Green ,8,11,15,1,0,72.72,ODI # 4681
Australia vs Netherlands,Australia,Pat Cummins ,12,9,39,2,0,133.33,ODI # 4681
Australia vs Netherlands,Australia,Mitchell Starc ,0,1,1,0,0,0.00,ODI # 4681
Australia vs Netherlands,Australia,Adam Zampa ,1,1,2,0,0,100.00,ODI # 4681
Australia vs Netherlands,Australia,Vikramjit Singh ,25,25,28,6,0,100.00,ODI # 4681
Australia vs Netherlands,Australia,Max O'Dowd ,6,9,21,1,0,66.66,ODI # 4681
Australia vs Netherlands,Australia,Colin Ackermann ,10,11,21,2,0,90.90,ODI # 4681
Australia vs Netherlands,Australia,Sybrand Engelbrecht ,11,21,36,1,0,52.38,ODI # 4681
Australia vs Netherlands,Australia,Bas de Leede ,4,7,7,1,0,57.14,ODI # 4681
Australia vs Netherlands,Australia,Scott Edwards ,12,22,53,0,0,54.54,ODI # 4681
Australia vs Netherlands,Australia,Teja Nidamanuru ,14,18,19,2,0,77.77,ODI # 4681
Australia vs Netherlands,Australia,Logan van Beek ,0,3,3,0,0,0.00,ODI # 4681
Australia vs Netherlands,Australia,Roelof van der Merwe ,0,1,1,0,0,0.00,ODI # 4681
Australia vs Netherlands,Australia,Aryan Dutt ,1,8,9,0,0,12.50,ODI # 4681
Australia vs Netherlands,Australia,Paul van Meekeren ,0,1,2,0,0,0.00,ODI # 4681
Bangladesh vs South Africa,South Africa,Quinton de Kock ,174,140,192,15,7,124.28,ODI # 4680
Bangladesh vs South Africa,South Africa,Reeza Hendricks ,12,19,24,1,0,63.15,ODI # 4680
Bangladesh vs South Africa,South Africa,Rassie van der Dussen ,1,7,6,0,0,14.28,ODI # 4680
Bangladesh vs South Africa,South Africa,Aiden Markram ,60,69,84,7,0,86.95,ODI # 4680
Bangladesh vs South Africa,South Africa,Heinrich Klaasen ,90,49,94,2,8,183.67,ODI # 4680
Bangladesh vs South Africa,South Africa,David Miller ,34,15,26,1,4,226.66,ODI # 4680
Bangladesh vs South Africa,South Africa,Marco Jansen ,1,1,3,0,0,100.00,ODI # 4680
Bangladesh vs South Africa,South Africa,Tanzid Hasan ,12,17,30,1,0,70.58,ODI # 4680
Bangladesh vs South Africa,South Africa,Litton Das ,22,44,78,3,1,50.00,ODI # 4680
Bangladesh vs South Africa,South Africa,Najmul Hossain Shanto ,0,1,1,0,0,0.00,ODI # 4680
Bangladesh vs South Africa,South Africa,Shakib Al Hasan ,1,4,4,0,0,25.00,ODI # 4680
Bangladesh vs South Africa,South Africa,Mushfiqur Rahim ,8,17,24,1,0,47.05,ODI # 4680
Bangladesh vs South Africa,South Africa,Mahmudullah ,111,111,150,11,4,100.00,ODI # 4680
Bangladesh vs South Africa,South Africa,Mehidy Hasan Miraz ,11,19,26,1,0,57.89,ODI # 4680
Bangladesh vs South Africa,South Africa,Nasum Ahmed ,19,19,27,3,0,100.00,ODI # 4680
Bangladesh vs South Africa,South Africa,Hasan Mahmud ,15,25,32,2,0,60.00,ODI # 4680
Bangladesh vs South Africa,South Africa,Mustafizur Rahman ,11,21,51,2,0,52.38,ODI # 4680
Bangladesh vs South Africa,South Africa,Shoriful Islam ,6,4,4,1,0,150.00,ODI # 4680
Afghanistan vs Pakistan,Afghanistan,Abdullah Shafique ,58,75,89,5,2,77.33,ODI # 4679
Afghanistan vs Pakistan,Afghanistan,Imam-ul-Haq ,17,22,44,2,0,77.27,ODI # 4679
Afghanistan vs Pakistan,Afghanistan,Babar Azam ,74,92,121,4,1,80.43,ODI # 4679
Afghanistan vs Pakistan,Afghanistan,Mohammad Rizwan ,8,10,8,0,1,80.00,ODI # 4679
Afghanistan vs Pakistan,Afghanistan,Saud Shakeel ,25,34,35,3,0,73.52,ODI # 4679
Afghanistan vs Pakistan,Afghanistan,Shadab Khan ,40,38,75,1,1,105.26,ODI # 4679
Afghanistan vs Pakistan,Afghanistan,Iftikhar Ahmed ,40,27,40,2,4,148.14,ODI # 4679
Afghanistan vs Pakistan,Afghanistan,Shaheen Shah Afridi ,3,3,4,0,0,100.00,ODI # 4679
Afghanistan vs Pakistan,Afghanistan,Rahmanullah Gurbaz ,65,53,91,9,1,122.64,ODI # 4679
Afghanistan vs Pakistan,Afghanistan,Ibrahim Zadran ,87,113,146,10,0,76.99,ODI # 4679
Afghanistan vs Pakistan,Afghanistan,Rahmat Shah ,77,84,129,5,2,91.66,ODI # 4679
Afghanistan vs Pakistan,Afghanistan,Hashmatullah Shahidi ,48,45,74,4,0,106.66,ODI # 4679
India vs New Zealand,India,Devon Conway ,0,9,16,0,0,0.00,ODI # 4678
India vs New Zealand,India,Will Young ,17,27,41,3,0,62.96,ODI # 4678
India vs New Zealand,India,Rachin Ravindra ,75,87,133,6,1,86.20,ODI # 4678
India vs New Zealand,India,Daryl Mitchell ,130,127,192,9,5,102.36,ODI # 4678
India vs New Zealand,India,Tom Latham ,5,7,16,1,0,71.42,ODI # 4678
India vs New Zealand,India,Glenn Phillips ,23,26,36,0,1,88.46,ODI # 4678
India vs New Zealand,India,Mark Chapman ,6,8,11,0,0,75.00,ODI # 4678
India vs New Zealand,India,Mitchell Santner ,1,2,3,0,0,50.00,ODI # 4678
India vs New Zealand,India,Matt Henry ,0,1,1,0,0,0.00,ODI # 4678
India vs New Zealand,India,Lockie Ferguson ,1,5,12,0,0,20.00,ODI # 4678
India vs New Zealand,India,Trent Boult ,0,1,1,0,0,0.00,ODI # 4678
India vs New Zealand,India,Rohit Sharma ,46,40,44,4,4,115.00,ODI # 4678
India vs New Zealand,India,Shubman Gill ,26,31,53,5,0,83.87,ODI # 4678
India vs New Zealand,India,Virat Kohli ,95,104,154,8,2,91.34,ODI # 4678
India vs New Zealand,India,Shreyas Iyer ,33,29,32,6,0,113.79,ODI # 4678
India vs New Zealand,India,KL Rahul ,27,35,43,3,0,77.14,ODI # 4678
India vs New Zealand,India,Suryakumar Yadav ,2,4,8,0,0,50.00,ODI # 4678
India vs New Zealand,India,Ravindra Jadeja ,39,44,63,3,1,88.63,ODI # 4678
India vs New Zealand,India,Mohammed Shami ,1,1,2,0,0,100.00,ODI # 4678
England vs South Africa,South Africa,Quinton de Kock ,4,2,3,1,0,200.00,ODI # 4677
England vs South Africa,South Africa,Reeza Hendricks ,85,75,111,9,3,113.33,ODI # 4677
England vs South Africa,South Africa,Rassie van der Dussen ,60,61,86,8,0,98.36,ODI # 4677
England vs South Africa,South Africa,Aiden Markram ,42,44,63,4,0,95.45,ODI # 4677
England vs South Africa,South Africa,Heinrich Klaasen ,109,67,119,12,4,162.68,ODI # 4677
England vs South Africa,South Africa,David Miller ,5,6,7,1,0,83.33,ODI # 4677
England vs South Africa,South Africa,Marco Jansen ,75,42,72,3,6,178.57,ODI # 4677
England vs South Africa,South Africa,Gerald Coetzee ,3,3,2,0,0,100.00,ODI # 4677
England vs South Africa,South Africa,Keshav Maharaj ,1,1,1,0,0,100.00,ODI # 4677
England vs South Africa,South Africa,Jonny Bairstow ,10,12,13,1,1,83.33,ODI # 4677
England vs South Africa,South Africa,Dawid Malan ,6,11,30,1,0,54.54,ODI # 4677
England vs South Africa,South Africa,Joe Root ,2,6,9,0,0,33.33,ODI # 4677
England vs South Africa,South Africa,Ben Stokes ,5,8,20,1,0,62.50,ODI # 4677
England vs South Africa,South Africa,Harry Brook ,17,25,33,2,1,68.00,ODI # 4677
England vs South Africa,South Africa,Jos Buttler ,15,7,14,2,1,214.28,ODI # 4677
England vs South Africa,South Africa,David Willey ,12,12,24,1,1,100.00,ODI # 4677
England vs South Africa,South Africa,Adil Rashid ,10,14,14,1,0,71.42,ODI # 4677
England vs South Africa,South Africa,Gus Atkinson ,35,21,31,7,0,166.66,ODI # 4677
England vs South Africa,South Africa,Mark Wood ,43,17,25,2,5,252.94,ODI # 4677
England vs South Africa,South Africa,Reece Topley ,-,-,-,-,-,-,ODI # 4677
Netherlands vs Sri Lanka,Sri Lanka,Vikramjit Singh ,4,13,17,1,0,30.76,ODI # 4676
Netherlands vs Sri Lanka,Sri Lanka,Max O'Dowd ,16,27,50,1,1,59.25,ODI # 4676
Netherlands vs Sri Lanka,Sri Lanka,Colin Ackermann ,29,31,42,5,0,93.54,ODI # 4676
Netherlands vs Sri Lanka,Sri Lanka,Bas de Leede ,6,21,33,0,0,28.57,ODI # 4676
Netherlands vs Sri Lanka,Sri Lanka,Teja Nidamanuru ,9,16,32,0,0,56.25,ODI # 4676
Netherlands vs Sri Lanka,Sri Lanka,Scott Edwards ,16,16,22,0,0,100.00,ODI # 4676
Netherlands vs Sri Lanka,Sri Lanka,Sybrand Engelbrecht ,70,82,100,4,1,85.36,ODI # 4676
Netherlands vs Sri Lanka,Sri Lanka,Logan van Beek ,59,75,108,1,1,78.66,ODI # 4676
Netherlands vs Sri Lanka,Sri Lanka,Roelof van der Merwe ,7,7,12,0,0,100.00,ODI # 4676
Netherlands vs Sri Lanka,Sri Lanka,Aryan Dutt ,9,6,14,1,0,150.00,ODI # 4676
Netherlands vs Sri Lanka,Sri Lanka,Paul van Meekeren ,4,5,6,0,0,80.00,ODI # 4676
Netherlands vs Sri Lanka,Sri Lanka,Pathum Nissanka ,54,52,69,9,0,103.84,ODI # 4676
Netherlands vs Sri Lanka,Sri Lanka,Kusal Perera ,5,8,17,1,0,62.50,ODI # 4676
Netherlands vs Sri Lanka,Sri Lanka,Kusal Mendis ,11,17,22,2,0,64.70,ODI # 4676
Netherlands vs Sri Lanka,Sri Lanka,Sadeera Samarawickrama ,91,107,168,7,0,85.04,ODI # 4676
Netherlands vs Sri Lanka,Sri Lanka,Charith Asalanka ,44,66,70,2,1,66.66,ODI # 4676
Netherlands vs Sri Lanka,Sri Lanka,Dhananjaya de Silva ,30,37,57,1,2,81.08,ODI # 4676
Netherlands vs Sri Lanka,Sri Lanka,Dushan Hemantha ,4,3,7,1,0,133.33,ODI # 4676
Australia vs Pakistan,Australia,David Warner ,163,124,180,14,9,131.45,ODI # 4675
Australia vs Pakistan,Australia,Mitchell Marsh ,121,108,139,10,9,112.03,ODI # 4675
Australia vs Pakistan,Australia,Glenn Maxwell ,0,1,1,0,0,0.00,ODI # 4675
Australia vs Pakistan,Australia,Steven Smith ,7,9,17,0,0,77.77,ODI # 4675
Australia vs Pakistan,Australia,Marcus Stoinis ,21,24,46,1,1,87.50,ODI # 4675
Australia vs Pakistan,Australia,Josh Inglis ,13,9,10,3,0,144.44,ODI # 4675
Australia vs Pakistan,Australia,Marnus Labuschagne ,8,12,23,1,0,66.66,ODI # 4675
Australia vs Pakistan,Australia,Pat Cummins ,6,8,17,0,0,75.00,ODI # 4675
Australia vs Pakistan,Australia,Mitchell Starc ,2,3,3,0,0,66.66,ODI # 4675
Australia vs Pakistan,Australia,Josh Hazlewood ,0,1,1,0,0,0.00,ODI # 4675
Australia vs Pakistan,Australia,Adam Zampa ,1,1,4,0,0,100.00,ODI # 4675
Australia vs Pakistan,Australia,Abdullah Shafique ,64,61,93,7,2,104.91,ODI # 4675
Australia vs Pakistan,Australia,Imam-ul-Haq ,70,71,107,10,0,98.59,ODI # 4675
Australia vs Pakistan,Australia,Babar Azam ,18,14,27,3,0,128.57,ODI # 4675
Australia vs Pakistan,Australia,Mohammad Rizwan ,46,40,84,5,0,115.00,ODI # 4675
Australia vs Pakistan,Australia,Saud Shakeel ,30,31,37,5,0,96.77,ODI # 4675
Australia vs Pakistan,Australia,Iftikhar Ahmed ,26,20,22,0,3,130.00,ODI # 4675
Australia vs Pakistan,Australia,Mohammad Nawaz ,14,16,19,0,1,87.50,ODI # 4675
Australia vs Pakistan,Australia,Usama Mir ,0,3,4,0,0,0.00,ODI # 4675
Australia vs Pakistan,Australia,Shaheen Shah Afridi ,10,8,17,2,0,125.00,ODI # 4675
Australia vs Pakistan,Australia,Hasan Ali ,8,8,7,2,0,100.00,ODI # 4675
Australia vs Pakistan,Australia,Haris Rauf ,0,1,3,0,0,0.00,ODI # 4675
India vs Bangladesh,India,Tanzid Hasan ,51,43,75,5,3,118.60,ODI # 4674
India vs Bangladesh,India,Litton Das ,66,82,124,7,0,80.48,ODI # 4674
India vs Bangladesh,India,Najmul Hossain Shanto ,8,17,18,0,0,47.05,ODI # 4674
India vs Bangladesh,India,Mehidy Hasan Miraz ,3,13,15,0,0,23.07,ODI # 4674
India vs Bangladesh,India,Towhid Hridoy ,16,35,54,0,0,45.71,ODI # 4674
India vs Bangladesh,India,Mushfiqur Rahim ,38,46,60,1,1,82.60,ODI # 4674
India vs Bangladesh,India,Mahmudullah ,46,36,60,3,3,127.77,ODI # 4674
India vs Bangladesh,India,Nasum Ahmed ,14,18,21,2,0,77.77,ODI # 4674
India vs Bangladesh,India,Mustafizur Rahman ,1,7,19,0,0,14.28,ODI # 4674
India vs Bangladesh,India,Shoriful Islam ,7,3,2,0,1,233.33,ODI # 4674
India vs Bangladesh,India,Rohit Sharma ,48,40,51,7,2,120.00,ODI # 4674
India vs Bangladesh,India,Shubman Gill ,53,55,80,5,2,96.36,ODI # 4674
India vs Bangladesh,India,Virat Kohli ,103,97,113,6,4,106.18,ODI # 4674
India vs Bangladesh,India,Shreyas Iyer ,19,25,38,2,0,76.00,ODI # 4674
India vs Bangladesh,India,KL Rahul ,34,34,44,3,1,100.00,ODI # 4674
Afghanistan vs New Zealand,New Zealand,Devon Conway ,20,18,27,3,0,111.11,ODI # 4673
Afghanistan vs New Zealand,New Zealand,Will Young ,54,64,98,4,3,84.37,ODI # 4673
Afghanistan vs New Zealand,New Zealand,Rachin Ravindra ,32,41,64,2,1,78.04,ODI # 4673
Afghanistan vs New Zealand,New Zealand,Daryl Mitchell ,1,7,6,0,0,14.28,ODI # 4673
Afghanistan vs New Zealand,New Zealand,Tom Latham ,68,74,114,3,2,91.89,ODI # 4673
Afghanistan vs New Zealand,New Zealand,Glenn Phillips ,71,80,109,4,4,88.75,ODI # 4673
Afghanistan vs New Zealand,New Zealand,Mark Chapman ,25,12,15,2,1,208.33,ODI # 4673
Afghanistan vs New Zealand,New Zealand,Mitchell Santner ,7,5,13,1,0,140.00,ODI # 4673
Afghanistan vs New Zealand,New Zealand,Rahmanullah Gurbaz ,11,21,24,0,1,52.38,ODI # 4673
Afghanistan vs New Zealand,New Zealand,Ibrahim Zadran ,14,15,27,2,0,93.33,ODI # 4673
Afghanistan vs New Zealand,New Zealand,Rahmat Shah ,36,62,86,1,0,58.06,ODI # 4673
Afghanistan vs New Zealand,New Zealand,Hashmatullah Shahidi ,8,29,30,1,0,27.58,ODI # 4673
Afghanistan vs New Zealand,New Zealand,Azmatullah Omarzai ,27,32,39,2,0,84.37,ODI # 4673
Afghanistan vs New Zealand,New Zealand,Ikram Alikhil ,19,21,42,3,0,90.47,ODI # 4673
Afghanistan vs New Zealand,New Zealand,Mohammad Nabi ,7,9,10,1,0,77.77,ODI # 4673
Afghanistan vs New Zealand,New Zealand,Rashid Khan ,8,13,10,0,1,61.53,ODI # 4673
Afghanistan vs New Zealand,New Zealand,Mujeeb Ur Rahman ,4,3,2,1,0,133.33,ODI # 4673
Afghanistan vs New Zealand,New Zealand,Naveen-ul-Haq ,0,1,1,0,0,0.00,ODI # 4673
Afghanistan vs New Zealand,New Zealand,Fazalhaq Farooqi ,0,2,1,0,0,0.00,ODI # 4673
Netherlands vs South Africa,Netherlands,Vikramjit Singh ,2,16,28,0,0,12.50,ODI # 4672
Netherlands vs South Africa,Netherlands,Max O'Dowd ,18,25,33,4,0,72.00,ODI # 4672
Netherlands vs South Africa,Netherlands,Colin Ackermann ,12,25,40,1,0,48.00,ODI # 4672
Netherlands vs South Africa,Netherlands,Bas de Leede ,2,7,16,0,0,28.57,ODI # 4672
Netherlands vs South Africa,Netherlands,Sybrand Engelbrecht ,19,37,41,1,1,51.35,ODI # 4672
Netherlands vs South Africa,Netherlands,Teja Nidamanuru ,20,25,56,3,0,80.00,ODI # 4672
Netherlands vs South Africa,Netherlands,Scott Edwards ,78,69,102,10,1,113.04,ODI # 4672
Netherlands vs South Africa,Netherlands,Logan van Beek ,10,27,22,1,0,37.03,ODI # 4672
Netherlands vs South Africa,Netherlands,Roelof van der Merwe ,29,19,30,3,1,152.63,ODI # 4672
Netherlands vs South Africa,Netherlands,Aryan Dutt ,23,9,14,0,3,255.55,ODI # 4672
Netherlands vs South Africa,Netherlands,Temba Bavuma ,16,31,35,2,1,51.61,ODI # 4672
Netherlands vs South Africa,Netherlands,Quinton de Kock ,20,22,28,3,0,90.90,ODI # 4672
Netherlands vs South Africa,Netherlands,Rassie van der Dussen ,4,7,16,0,0,57.14,ODI # 4672
Netherlands vs South Africa,Netherlands,Aiden Markram ,1,3,4,0,0,33.33,ODI # 4672
Netherlands vs South Africa,Netherlands,Heinrich Klaasen ,28,28,36,4,0,100.00,ODI # 4672
Netherlands vs South Africa,Netherlands,David Miller ,43,52,81,4,1,82.69,ODI # 4672
Netherlands vs South Africa,Netherlands,Marco Jansen ,9,25,22,0,0,36.00,ODI # 4672
Netherlands vs South Africa,Netherlands,Gerald Coetzee ,22,23,33,2,1,95.65,ODI # 4672
Netherlands vs South Africa,Netherlands,Keshav Maharaj ,40,37,54,5,1,108.10,ODI # 4672
Netherlands vs South Africa,Netherlands,Kagiso Rabada ,9,6,9,0,1,150.00,ODI # 4672
Netherlands vs South Africa,Netherlands,Lungi Ngidi ,7,24,35,0,0,29.16,ODI # 4672
Australia vs Sri Lanka,Australia,Pathum Nissanka ,61,67,103,8,0,91.04,ODI # 4671
Australia vs Sri Lanka,Australia,Kusal Perera ,78,82,123,12,0,95.12,ODI # 4671
Australia vs Sri Lanka,Australia,Kusal Mendis ,9,13,27,0,0,69.23,ODI # 4671
Australia vs Sri Lanka,Australia,Sadeera Samarawickrama ,8,8,15,1,0,100.00,ODI # 4671
Australia vs Sri Lanka,Australia,Charith Asalanka ,25,39,75,0,1,64.10,ODI # 4671
Australia vs Sri Lanka,Australia,Dhananjaya de Silva ,7,13,13,1,0,53.84,ODI # 4671
Australia vs Sri Lanka,Australia,Dunith Wellalage ,2,9,9,0,0,22.22,ODI # 4671
Australia vs Sri Lanka,Australia,Chamika Karunaratne ,2,11,12,0,0,18.18,ODI # 4671
Australia vs Sri Lanka,Australia,Maheesh Theekshana ,0,5,7,0,0,0.00,ODI # 4671
Australia vs Sri Lanka,Australia,Lahiru Kumara ,4,8,6,1,0,50.00,ODI # 4671
Australia vs Sri Lanka,Australia,Dilshan Madushanka ,0,6,12,0,0,0.00,ODI # 4671
Australia vs Sri Lanka,Australia,Mitchell Marsh ,52,51,67,9,0,101.96,ODI # 4671
Australia vs Sri Lanka,Australia,David Warner ,11,6,16,0,1,183.33,ODI # 4671
Australia vs Sri Lanka,Australia,Steven Smith ,0,5,4,0,0,0.00,ODI # 4671
Australia vs Sri Lanka,Australia,Marnus Labuschagne ,40,60,100,2,0,66.66,ODI # 4671
Australia vs Sri Lanka,Australia,Josh Inglis ,58,59,75,5,1,98.30,ODI # 4671
Australia vs Sri Lanka,Australia,Glenn Maxwell ,31,21,30,4,2,147.61,ODI # 4671
Australia vs Sri Lanka,Australia,Marcus Stoinis ,20,10,10,2,1,200.00,ODI # 4671
Afghanistan vs England,Afghanistan,Rahmanullah Gurbaz ,80,57,87,8,4,140.35,ODI # 4670
Afghanistan vs England,Afghanistan,Ibrahim Zadran ,28,48,73,3,0,58.33,ODI # 4670
Afghanistan vs England,Afghanistan,Rahmat Shah ,3,8,10,0,0,37.50,ODI # 4670
